Komentar,comment_clean,comment_preprocessing,comment_DLD,label
Wkwkwkwk gimana kabar istana kucing nya 😂 BTW dana di korup berapa 😂😂😂,wkwkwkwk gimana kabar istana kucing nya btw dana di korup berapa,"['kabar', 'istana', 'kucing', 'omong', 'dana', 'korupsi']","['kabar', 'istana', 'kucing', 'omong', 'dana', 'korupsi']",Negatif
tiang keadilan kapan ditinggikan? 😢,tiang keadilan kapan ditinggikan,"['tiang', 'adil', 'tinggi']","['tiang', 'adil', 'tinggi']",Negatif
"Tiang tinggi, korupsi nya pun ikut tinggi 🇮🇩🔥",tiang tinggi korupsi nya pun ikut tinggi,"['tiang', 'korupsi']","['tiang', 'korupsi']",Negatif
"saya bangga dengan adanya IKN tapi saya sedikit kecewa dengan pemerintahan yang tidak memperdulikan nasib para pekerja. banyak pekerja yg terlantar. mulai dari akses yg lumayan jauh dan unit operasional yg terbatas sehingga banyak pekerja yg berangkat/pulang kerja dgn menumpang mobil/truk, dan juga masalah gaji yg tidak sebanding dengan tenaga mereka, sering juga gaji mereka digantung(telat) bahkan banyak yg tidak dibayar dan akhirnya terlantar sampai menjual barang"" pribadinya untuk ongkos pulang kampung😊",saya bangga dengan adanya ikn tapi saya sedikit kecewa dengan pemerintahan yang tidak memperdulikan nasib para pekerja banyak pekerja yg terlantar mulai dari akses yg lumayan jauh dan unit operasional yg terbatas sehingga banyak pekerja yg berangkat pulang kerja dgn menumpang mobil truk dan juga masalah gaji yg tidak sebanding dengan tenaga mereka sering juga gaji mereka digantung telat bahkan banyak yg tidak dibayar dan akhirnya terlantar sampai menjual barang pribadinya untuk ongkos pulang kampung,"['bangga', 'ikn', 'kecewa', 'perintah', 'duli', 'nasib', 'kerja', 'kerja', 'lantar', 'akses', 'lumayan', 'unit', 'operasional', 'batas', 'kerja', 'pulang', 'kerja', 'tumpang', 'mobil', 'truk', 'gaji', 'banding', 'tenaga', 'gaji', 'gantung', 'telat', 'bayar', 'lantar', 'jual', 'barang', 'pribadi', 'ongkos', 'pulang', 'kampung']","['bangga', 'ikn', 'kecewa', 'perintah', 'duri', 'nasib', 'kerja', 'kerja', 'latar', 'akses', 'lumayan', 'unit', 'operasional', 'batas', 'kerja', 'pulang', 'kerja', 'tumpang', 'mobil', 'truk', 'gaji', 'bandeng', 'tenaga', 'gaji', 'gantung', 'tepat', 'bayar', 'latar', 'jual', 'barang', 'pribadi', 'ongkos', 'pulang', 'kampung']",Negatif
"habis uang rakyat di buat yang enggak"".. ya iyaa kalau gak di korupsi.. mana makan para petinggi kalau gak korupsi",habis uang rakyat di buat yang enggak ya iyaa kalau gak di korupsi mana makan para petinggi kalau gak korupsi,"['habis', 'uang', 'rakyat', 'korupsi', 'makan', 'petinggi', 'korupsi']","['habis', 'uang', 'rakyat', 'korupsi', 'makan', 'petinggi', 'korupsi']",Negatif
Mantap... Bisa menarik wisatawan 🇮🇩 optimis Indonesia bisa jadi negara maju... Syarat ganti rakyat 😍 atau rakyatnya pada mikir biar bisa pinter 👍,mantap bisa menarik wisatawan optimis indonesia bisa jadi negara maju syarat ganti rakyat atau rakyatnya pada mikir biar bisa pinter,"['mantap', 'tarik', 'wisatawan', 'optimis', 'indonesia', 'negara', 'maju', 'syarat', 'ganti', 'rakyat', 'rakyat', 'mikir', 'pintar']","['mantap', 'tarik', 'wisatawan', 'optimis', 'indonesia', 'negara', 'maju', 'syarat', 'ganti', 'rakyat', 'rakyat', 'mikir', 'pintar']",Positif
"Walaupun tiang bendera berdiri tegak tinggi nan kokoh, kalau keadilan hukum nya tidak tinggi sama aja percuma...",walaupun tiang bendera berdiri tegak tinggi nan kokoh kalau keadilan hukum nya tidak tinggi sama aja percuma,"['tiang', 'bendera', 'diri', 'tegak', 'nan', 'kokoh', 'adil', 'hukum']","['tiang', 'bendera', 'diri', 'tegak', 'nah', 'kok', 'adil', 'hukum']",Negatif
Semoga kedepannya lebih baik lagi tanpa suapan 👍,semoga kedepannya lebih baik lagi tanpa suapan,"['moga', 'depan', 'suap']","['moga', 'depan', 'suap']",Positif
TETAP HUKUM TUMPUL KEBAWAH🔥,tetap hukum tumpul kebawah,"['hukum', 'tumpul', 'bawah']","['hukum', 'turpuk', 'bawah']",Negatif
Gedung yg berdiri berdiri itu kantor apa ❓,gedung yg berdiri berdiri itu kantor apa,"['gedung', 'diri', 'diri', 'kantor']","['gedung', 'diri', 'diri', 'kantor']",Negatif
Proyek garing,proyek garing,"['proyek', 'garing']","['proyek', 'garing']",Negatif
"Sebelum keadilan dan kesejahteraan merata di Indonesia ini, merah putih masih setengah tiang",sebelum keadilan dan kesejahteraan merata di indonesia ini merah putih masih setengah tiang,"['adil', 'sejahtera', 'rata', 'indonesia', 'merah', 'putih', 'tiang']","['adil', 'sejahtera', 'rata', 'indonesia', 'merah', 'putih', 'tiang']",Negatif
Syukur lah nek iku ws dadi,syukur lah nek iku ws dadi,"['syukur', 'nek']","['syukur', 'neck']",Positif
"Tiang tinggi,pajak jg semakin tinggi,hutang negara semakin tinggi,penderitaan rakyat jg tinggi,kemsikinan semakin tinggi,korupsi tambah tinggi.apa yg mau kalian banggakan? Foya2 diatas penderitaan rakyat",tiang tinggi pajak jg semakin tinggi hutang negara semakin tinggi penderitaan rakyat jg tinggi kemsikinan semakin tinggi korupsi tambah tinggi apa yg mau kalian banggakan foya diatas penderitaan rakyat,"['tiang', 'pajak', 'hutang', 'negara', 'derita', 'rakyat', 'miskin', 'korupsi', 'bangga', 'foya', 'atas', 'derita', 'rakyat']","['tiang', 'pajak', 'hutang', 'negara', 'deret', 'rakyat', 'miskin', 'korupsi', 'bangga', 'fofa', 'atas', 'deret', 'rakyat']",Negatif
Pembangunan ya pembangunan 👍 hukumm ya hukum,pembangunan ya pembangunan hukumm ya hukum,"['bangun', 'bangun', 'hukum', 'hukum']","['bangun', 'bangun', 'hukum', 'hukum']",Negatif
Tiang buat apaan ? Tapi hukum semakin tajem ke bawah ke rakyat jelata,tiang buat apaan tapi hukum semakin tajem ke bawah ke rakyat jelata,"['tiang', 'hukum', 'tajam', 'rakyat', 'jelata']","['tiang', 'hukum', 'tajam', 'rakyat', 'jelata']",Negatif
"Yg komen rata"" banyak yg bacot",yg komen rata banyak yg bacot,"['komentar', 'bacot']","['komentar', 'back']",Negatif
aroma utang nya begitu kuat,aroma utang nya begitu kuat,"['aroma', 'utang', 'kuat']","['aroma', 'utang', 'kuat']",Negatif
"Mending makmurin dlu dah rakyatya, pengangguran aja masih merajalela mau makan tiang bendera rakyat🇮🇩 indonesi cuma di kata doang, nyataya masih banyak rakyat kelaparan dan ksusahan di negri yg kataya sudah merdeka wkwmkw",mending makmurin dlu dah rakyatya pengangguran aja masih merajalela mau makan tiang bendera rakyat indonesi cuma di kata doang nyataya masih banyak rakyat kelaparan dan ksusahan di negri yg kataya sudah merdeka wkwmkw,"['mending', 'makmurin', 'rakyat', 'anggur', 'rajalela', 'makan', 'tiang', 'bendera', 'rakyat', 'indonesia', 'nyataya', 'rakyat', 'lapar', 'susah', 'negri', 'merdeka']","['menuding', 'makmur', 'rakyat', 'anggur', 'rajamala', 'makan', 'tiang', 'bendera', 'rakyat', 'indonesia', 'nyatakan', 'rakyat', 'lapak', 'susah', 'negeri', 'merdeka']",Negatif
79 meter apakah ada arti ??,meter apakah ada arti,"['meter', 'arti']","['meter', 'arti']",Negatif
"Burung Garuda nya noh, Uda kaya burung yg sedang tunduk pada majikan 😂",burung garuda nya noh uda kaya burung yg sedang tunduk pada majikan,"['burung', 'garuda', 'burung', 'tunduk', 'majikan']","['burung', 'garuda', 'burung', 'tunduk', 'mainan']",Negatif
Mantap NusantaraKU 👏👏,mantap nusantaraku,"['mantap', 'nusantara']","['mantap', 'nusantara']",Positif
Jaya lh indonesia ku👍👍💪💪💪💪merdekaaaaaaaaaa🇮🇩🇮🇩,jaya lh indonesia ku merdekaaaaaaaaaa,"['jaya', 'indonesia', 'merdekaaaaaaaaaa']","['jaya', 'indonesia', 'merekayasa']",Positif
Pekerja yang seminggu baru sampai terus pulang tertawa melihat postingan ini😂😂😂,pekerja yang seminggu baru sampai terus pulang tertawa melihat postingan ini,"['kerja', 'minggu', 'pulang', 'tawa', 'postingan']","['kerja', 'minggu', 'pulang', 'tawa', 'postingan']",Negatif
"Kok ada 3 sih Bendera Nya , itu yg kanan - kiri Bendera apaan",kok ada sih bendera nya itu yg kanan kiri bendera apaan,"['bendera', 'kanan', 'kiri', 'bendera']","['bendera', 'kanan', 'kiri', 'bendera']",Negatif
Keren !! Indonesia Jaya !!,keren indonesia jaya,"['keren', 'indonesia', 'jaya']","['keren', 'indonesia', 'jaya']",Positif
para haters kelojotan melihat ini...heheheh...Indonesia Jaya !!,para haters kelojotan melihat ini heheheh indonesia jaya,"['benci', 'kelojot', 'indonesia', 'jaya']","['benua', 'kelotok', 'indonesia', 'jaya']",Positif
Indonesia Bukan Jawa Lagi IBukota Bukan Jakarta lagi......semua Harus menikmati Kemerdekaan INDONESIA 79 Th sampai kiamat Menghancurkan BUMI INDONESIA ❤️🇮🇩🇮🇩🇮🇩🇮🇩,indonesia bukan jawa lagi ibukota bukan jakarta lagi semua harus menikmati kemerdekaan indonesia th sampai kiamat menghancurkan bumi indonesia,"['indonesia', 'jawa', 'ibukota', 'jakarta', 'nikmat', 'merdeka', 'indonesia', 'kiamat', 'hancur', 'bumi', 'indonesia']","['indonesia', 'jawa', 'ibukota', 'jakarta', 'nikmat', 'merdeka', 'indonesia', 'kiasan', 'hancur', 'bumi', 'indonesia']",Positif
Tiang tertinggi tp perekonomian menurun jauh dipantau coba 😢,tiang tertinggi tp perekonomian menurun jauh dipantau coba,"['tiang', 'tinggi', 'ekonomi', 'turun', 'pantau', 'coba']","['tiang', 'tinggi', 'ekonomi', 'turun', 'pantau', 'coba']",Negatif
Saya sangat mencintai NEGRI INI . INDONESIA . Tapi tidak untuk para pemegang amanah dari rakyat untuk menjadikan negri ini lebih baik .. rindu akan masyarakat gotong royong untuk menjadikan NKRI ini sejahtera . Tapi sekarang mereka dipaksa Bungkam oleh para penerima amanah .,saya sangat mencintai negri ini indonesia tapi tidak untuk para pemegang amanah dari rakyat untuk menjadikan negri ini lebih baik rindu akan masyarakat gotong royong untuk menjadikan nkri ini sejahtera tapi sekarang mereka dipaksa bungkam oleh para penerima amanah,"['cinta', 'negri', 'indonesia', 'pegang', 'amanah', 'rakyat', 'jadi', 'negri', 'rindu', 'masyarakat', 'gotong', 'royong', 'jadi', 'nkri', 'sejahtera', 'paksa', 'bungkam', 'terima', 'amanah']","['cinta', 'negeri', 'indonesia', 'petang', 'amanah', 'rakyat', 'jadi', 'negeri', 'rindu', 'masyarakat', 'gotong', 'royong', 'jadi', 'nkri', 'sejahtera', 'paksa', 'bungkel', 'terima', 'amanah']",Negatif
Alhamdulillah.... Semoga bangunannya semua kokoh kuat membawa berkah utk masyarakat sekitarnya😍😍😍😍,alhamdulillah semoga bangunannya semua kokoh kuat membawa berkah utk masyarakat sekitarnya,"['alhamdulilah', 'moga', 'bangun', 'kokoh', 'kuat', 'bawa', 'berkah', 'masyarakat']","['alhamdulillah', 'moga', 'bangun', 'kok', 'kuat', 'bawa', 'berkah', 'masyarakat']",Positif
"Tinggi sih, tapi tidak ada keadilan bagi seluruh rakyat Indonesia 🔥👏",tinggi sih tapi tidak ada keadilan bagi seluruh rakyat indonesia,"['adil', 'rakyat', 'indonesia']","['adil', 'rakyat', 'indonesia']",Negatif
HERAN DEH SAMA KOMENAN HATTERS. MEREKA YG MISKIN NAPA JUGA NGELUH PEMERINTAH. MISKINNYA KERJA KERAS MAKSIMAL DONG. HERAN DEH.,heran deh sama komenan hatters mereka yg miskin napa juga ngeluh pemerintah miskinnya kerja keras maksimal dong heran deh,"['heran', 'komentar', 'benci', 'miskin', 'napa', 'ngeluh', 'perintah', 'miskin', 'kerja', 'keras', 'maksimal', 'heran']","['heran', 'komentar', 'benua', 'miskin', 'napas', 'ngeh', 'perintah', 'miskin', 'kerja', 'keras', 'maksimal', 'heran']",Negatif
Akhirnya luar jawa ada city light 🥰,akhirnya luar jawa ada city light,"['jawa', 'kota', 'cahaya']","['jawa', 'kota', 'cahaya']",Positif
Aku masih heran pola pikir orang2 yang gak suka sama Pak Jokowi,aku masih heran pola pikir orang yang gak suka sama pak jokowi,"['heran', 'pola', 'pikir', 'orang', 'suka', 'jokowi']","['heran', 'pola', 'pikir', 'orang', 'suka', 'jokowi']",Positif
ikn wajib bikin gedung pencakar langit biar bisa liat ikn dari ketinggian secara langsung pake mata,ikn wajib bikin gedung pencakar langit biar bisa liat ikn dari ketinggian secara langsung pake mata,"['ikn', 'wajib', 'gedung', 'cakar', 'langit', 'lihat', 'ikn', 'tinggi', 'langsung', 'pakai', 'mata']","['ikn', 'wajib', 'gedung', 'cakar', 'langit', 'lihat', 'ikn', 'tinggi', 'langsung', 'pakai', 'mata']",Positif
"aku janji sama diriku sendiri, setelah lulus kuliah nanti bakal merantau ke ikn dan kerja di sana bangun usaha apa aja kerja apa aja dalam nama Tuhan Yesus Amin
""mimpi seorang ank desa sepertiku in""",aku janji sama diriku sendiri setelah lulus kuliah nanti bakal merantau ke ikn dan kerja di sana bangun usaha apa aja kerja apa aja dalam nama tuhan yesus amin mimpi seorang ank desa sepertiku in,"['janji', 'diri', 'lulus', 'kuliah', 'rantau', 'ikn', 'kerja', 'bangun', 'usaha', 'kerja', 'nama', 'tuhan', 'mimpi', 'anak', 'desa', 'seperti']","['janji', 'diri', 'lulus', 'kuliah', 'rantau', 'ikn', 'kerja', 'bangun', 'usaha', 'kerja', 'nama', 'tuhan', 'mimpi', 'anak', 'desa', 'seperti']",Positif
"itu liat adek2,uangku udah jadi tiang listrik satu,betapa besar pahala kita nanti",itu liat adek uangku udah jadi tiang listrik satu betapa besar pahala kita nanti,"['lihat', 'adik', 'uang', 'tiang', 'listrik', 'betapa', 'pahala']","['lihat', 'adil', 'uang', 'tiang', 'listrik', 'betapa', 'pahala']",Positif
jadinya tetap bangun ibu kota atau tempat wisata kak?,jadinya tetap bangun ibu kota atau tempat wisata kak,"['bangun', 'kota', 'wisata', 'kakak']","['bangun', 'kota', 'wisata', 'kakak']",Positif
jadi luas IKN cuma bgitu? IKN nnti jdi provinsi kan?,jadi luas ikn cuma bgitu ikn nnti jdi provinsi kan,"['luas', 'ikn', 'ikn', 'provinsi']","['luas', 'ikn', 'ikn', 'provinsi']",Positif
"kalo sore disana kaya ga di indonesia,kaya kota masa depan👍",kalo sore disana kaya ga di indonesia kaya kota masa depan,"['sore', 'sana', 'indonesia', 'kota']","['sore', 'sana', 'indonesia', 'kota']",Positif
yg tadinya hutan🥺👏di sulap sama pakde jadi seindah ini,yg tadinya hutan di sulap sama pakde jadi seindah ini,"['hutan', 'sulap', 'pakde', 'indah']","['hutang', 'sulam', 'pake', 'indah']",Positif
"yg dimaksud saranjana adalah IKN ini, makanya cerita kota ghoib itu hampir sama di seluruh nusantara. pintu adalah simbol manusia yaitu pak jokowi.,-",yg dimaksud saranjana adalah ikn ini makanya cerita kota ghoib itu hampir sama di seluruh nusantara pintu adalah simbol manusia yaitu pak jokowi,"['saranjana', 'ikn', 'cerita', 'kota', 'ghoib', 'nusantara', 'pintu', 'simbol', 'manusia', 'jokowi']","['saranjana', 'ikn', 'cerita', 'kota', 'ghaisan', 'nusantara', 'pintu', 'simbol', 'manusia', 'jokowi']",Positif
kok bisa ya ada kota tapi vibes alamnya gak hilang... gokil sih.,kok bisa ya ada kota tapi vibes alamnya gak hilang gokil sih,"['kota', 'rasa', 'alam', 'hilang', 'gokil']","['kota', 'rasa', 'alam', 'hilang', 'goci']",Positif
cpt banget bangunan nya rame😇,cpt banget bangunan nya rame,"['bangun', 'ramai']","['bangun', 'ramai']",Positif
"trimaksih pak.jokowi yg tlah mambuka lapangan pekerjaan dengan membangun bangunan di seluruh indonesia ..saya sebagai kuli project merasa bangga ikut membangun gedung"" dan tol yg anda bangun.",trimaksih pak jokowi yg tlah mambuka lapangan pekerjaan dengan membangun bangunan di seluruh indonesia saya sebagai kuli project merasa bangga ikut membangun gedung dan tol yg anda bangun,"['terimakasih', 'jokowi', 'buka', 'lapang', 'kerja', 'bangun', 'bangun', 'indonesia', 'kuli', 'proyek', 'bangga', 'bangun', 'gedung', 'tol', 'bangun']","['terindikasi', 'jokowi', 'buka', 'lapang', 'kerja', 'bangun', 'bangun', 'indonesia', 'kuli', 'proyek', 'bangga', 'bangun', 'gedung', 'tol', 'bangun']",Positif
yg maju di ikn,yg maju di ikn,"['maju', 'ikn']","['maju', 'ikn']",Positif
"kalau penempatan kerjaanku dan suamiku dipindahkan ke IKN, serius aku gak akan nolak! asal berdua, biar sama sama buka usaha sampingan disana terlihat dari msh banyak lahan😍😍😍😍😍",kalau penempatan kerjaanku dan suamiku dipindahkan ke ikn serius aku gak akan nolak asal berdua biar sama sama buka usaha sampingan disana terlihat dari msh banyak lahan,"['tempat', 'kerja', 'suami', 'pindah', 'ikn', 'serius', 'nolak', 'dua', 'buka', 'usaha', 'samping', 'sana', 'lahan']","['tempat', 'kerja', 'suami', 'pindah', 'ikn', 'serius', 'nota', 'dua', 'buka', 'usaha', 'samping', 'sana', 'lahan']",Positif
masyarakat cuma bisa melihat penguasa lah yang menikmati😌,masyarakat cuma bisa melihat penguasa lah yang menikmati,"['masyarakat', 'kuasa', 'nikmat']","['masyarakat', 'kuasa', 'nikmat']",Negatif
IKN mau jadi terus liat timnas indo di piala dunia🥺,ikn mau jadi terus liat timnas indo di piala dunia,"['ikn', 'lihat', 'timnas', 'indonesia', 'piala', 'dunia']","['ikn', 'lihat', 'timnas', 'indonesia', 'piala', 'dunia']",Positif
"kabarn ny pak Jokowi akan memindahkan pendukungnya ke ikn,,dri pada sepi katanya,,,anak Abah di jakarta aj",kabarn ny pak jokowi akan memindahkan pendukungnya ke ikn dri pada sepi katanya anak abah di jakarta aj,"['kabar', 'jokowi', 'pindah', 'dukung', 'ikn', 'sepi', 'anak', 'jakarta']","['kabar', 'jokowi', 'pindah', 'dukung', 'ikn', 'sepi', 'anak', 'jakarta']",Positif
semoga bisa bawa kedua org tua ku ke IKN walaupun saya sendiri dari Kalbar😊,semoga bisa bawa kedua org tua ku ke ikn walaupun saya sendiri dari kalbar,"['moga', 'bawa', 'orang', 'tua', 'ikn', 'kalbar']","['moga', 'bawa', 'orang', 'tua', 'ikn', 'kabar']",Positif
"gue selalu ngebayngin IKN bkalan kyk putrajaya bahkan bisa lebih keren,mngkin 5-10th lagi baru bnr2 bisa terlihat betapa keren nya IKN",gue selalu ngebayngin ikn bkalan kyk putrajaya bahkan bisa lebih keren mngkin th lagi baru bnr bisa terlihat betapa keren nya ikn,"['ngebayngin', 'ikn', 'keren', 'betapa', 'keren', 'ikn']","['ngebung', 'ikn', 'keren', 'betapa', 'keren', 'ikn']",Positif
"liat koment""nya adem"" gk ribut kek sebelah. asli keren IKN👍",liat koment nya adem gk ribut kek sebelah asli keren ikn,"['lihat', 'komentar', 'dingin', 'ribut', 'belah', 'asli', 'keren', 'ikn']","['lihat', 'komentar', 'dingin', 'ribut', 'belah', 'asli', 'keren', 'ikn']",Positif
😭😭😭ya Allah saya ingin anak saya kerja di ikn.supaya saya bisa sering jenguk dan jalan jalan di sana.aamiin....,ya allah saya ingin anak saya kerja di ikn supaya saya bisa sering jenguk dan jalan jalan di sana aamiin,"['anak', 'kerja', 'ikn', 'jenguk', 'jalan', 'jalan']","['anak', 'kerja', 'ikn', 'jenuh', 'jalan', 'jalan']",Positif
Seindah itu masyallah🥰,seindah itu masyallah,"['indah', 'masyallah']","['indah', 'masyaallah']",Positif
"sumpah udah ngak bisa berkata² lg bagus nya massy allah belum jadi sempurna, apa lg kalo dah jadi subhanallah. 😍😍😍😍",sumpah udah ngak bisa berkata lg bagus nya massy allah belum jadi sempurna apa lg kalo dah jadi subhanallah,"['sumpah', 'bagus', 'massy', 'sempurna', 'subhanallah']","['sumpah', 'bagus', 'massa', 'sempurna', 'sunatullah']",Positif
Sdh mulai terlihat gagah NUSANTARA,sdh mulai terlihat gagah nusantara,"['gagah', 'nusantara']","['gagah', 'nusantara']",Positif
siapa kmren yg bilang mengkrak anjr😭 sebagus ini woyy🔥,siapa kmren yg bilang mengkrak anjr sebagus ini woyy,"['kemarin', 'mengkrak', 'anjing', 'bagus']","['kemarin', 'mengorak', 'anjing', 'bagus']",Positif
udh keliatan betapa indah nya IKN,udh keliatan betapa indah nya ikn,"['liat', 'betapa', 'indah', 'ikn']","['liat', 'betapa', 'indah', 'ikn']",Positif
sangat sangat keren hasil karya anak bangsa membangun sebuah Ibu kota negara yang dinyatakan mangkrak teryata berdiri nyata di depan mata 👍👍🤲🤲🇮🇩,sangat sangat keren hasil karya anak bangsa membangun sebuah ibu kota negara yang dinyatakan mangkrak teryata berdiri nyata di depan mata,"['keren', 'hasil', 'karya', 'anak', 'bangsa', 'bangun', 'kota', 'negara', 'nyata', 'mangkrak', 'teryata', 'diri', 'nyata', 'mata']","['keren', 'hasil', 'karya', 'anak', 'bangsa', 'bangun', 'kota', 'negara', 'nyata', 'mangkuk', 'ternyata', 'diri', 'nyata', 'mata']",Positif
"andai bikin gedung thn""besuk di ikn mudah""ada salah satu gedung tertinggi d dunia makin keren ya NKRI,",andai bikin gedung thn besuk di ikn mudah ada salah satu gedung tertinggi d dunia makin keren ya nkri,"['andai', 'gedung', 'besuk', 'ikn', 'mudah', 'salah', 'gedung', 'tinggi', 'dunia', 'keren', 'nkri']","['andai', 'gedung', 'besuk', 'ikn', 'mudah', 'salah', 'gedung', 'tinggi', 'dunia', 'keren', 'nkri']",Positif
kereta tanpa rel akhirnya ada di Nusantara 🥰,kereta tanpa rel akhirnya ada di nusantara,"['kereta', 'rel', 'nusantara']","['kereta', 'red', 'nusantara']",Positif
"wow cantik,mewah,megah ibukotaku.
bangga punya IKN 🥰",wow cantik mewah megah ibukotaku bangga punya ikn,"['keren', 'cantik', 'mewah', 'megah', 'ibukota', 'bangga', 'ikn']","['keren', 'cantik', 'mewah', 'megah', 'ibukota', 'bangga', 'ikn']",Positif
"Tolong di jaga dan di rawat ya, terimakasih bpk jokowi ❤️",tolong di jaga dan di rawat ya terimakasih bpk jokowi,"['tolong', 'jaga', 'rawat', 'terimakasih', 'jokowi']","['tolong', 'jaga', 'rawat', 'terindikasi', 'jokowi']",Positif
mantap IKN Jaya lah Indonesia ku💪👍,mantap ikn jaya lah indonesia ku,"['mantap', 'ikn', 'jaya', 'indonesia']","['mantap', 'ikn', 'jaya', 'indonesia']",Positif
"keren habis, trimakasih pak jokowi🥰",keren habis trimakasih pak jokowi,"['keren', 'habis', 'terimakasih', 'jokowi']","['keren', 'habis', 'terindikasi', 'jokowi']",Positif
suatu saat masyarakat Indonesia bakal berterimakasih sama pak Jokowi,suatu saat masyarakat indonesia bakal berterimakasih sama pak jokowi,"['masyarakat', 'indonesia', 'terimakasih', 'jokowi']","['masyarakat', 'indonesia', 'terindikasi', 'jokowi']",Positif
dji apa ni kak kok vidio malam nya jelas bgt🙏,dji apa ni kak kok vidio malam nya jelas bgt,"['kakak', 'video', 'malam']","['kakak', 'video', 'malam']",Positif
Indahhhh sekali ikn ku ini 🥰🥰🥰🥰,indahhhh sekali ikn ku ini,"['indah', 'ikn']","['indah', 'ikn']",Positif
sayangnya orang yg berjasa besar untuk IKN ini tidak akan sempat menempati maupun menikmatinya karna tinggal beberapa hari beliau sudah purna tugas☺️,sayangnya orang yg berjasa besar untuk ikn ini tidak akan sempat menempati maupun menikmatinya karna tinggal beberapa hari beliau sudah purna tugas,"['sayang', 'orang', 'jasa', 'ikn', 'tempat', 'nikmat', 'tinggal', 'beliau', 'purna', 'tugas']","['sayang', 'orang', 'jasa', 'ikn', 'tempat', 'nikmat', 'tinggal', 'beliau', 'purba', 'tugas']",Positif
pasti tenang banget kerja disana masi jarang polusi udaranya,pasti tenang banget kerja disana masi jarang polusi udaranya,"['tenang', 'kerja', 'sana', 'jarang', 'polusi', 'udara']","['tenang', 'kerja', 'sana', 'jarang', 'polusi', 'udara']",Positif
gak kebayang kalo udah banyak gedung gedung tinggi pasti makin terang ini,gak kebayang kalo udah banyak gedung gedung tinggi pasti makin terang ini,"['bayang', 'gedung', 'gedung', 'terang']","['bayang', 'gedung', 'gedung', 'terang']",Positif
"saya dr Lumajang Jawa Timur bangga dg IKN yg ada di saudara Kalimantan️🥰
Bercahayalah Indonesia ku, Bersinarlah Nusantara ku 🥰",saya dr lumajang jawa timur bangga dg ikn yg ada di saudara kalimantan bercahayalah indonesia ku bersinarlah nusantara ku,"['lumajang', 'jawa', 'timur', 'bangga', 'ikn', 'saudara', 'kalimantan', 'cahaya', 'indonesia', 'sar', 'nusantara']","['lumajang', 'jawa', 'timur', 'bangga', 'ikn', 'saudara', 'kalimantan', 'cahaya', 'indonesia', 'sar', 'nusantara']",Positif
ini beneran ikn Se bagus ini😭,ini beneran ikn se bagus ini,"['beneran', 'ikn', 'bagus']","['bendera', 'ikn', 'bagus']",Positif
TERIMAKASIH PAK JOKOWI🔥🔥🔥🔥🔥,terimakasih pak jokowi,"['terimakasih', 'jokowi']","['terindikasi', 'jokowi']",Positif
"sumpah terkejutt bgt, baguss bgttt😭🙏🙏🌹",sumpah terkejutt bgt baguss bgttt,"['sumpah', 'bagus']","['sumpah', 'bagus']",Positif
baru TAHAP 1 aja SEBAGUS INI🔥,baru tahap aja sebagus ini,"['tahap', 'bagus']","['tahap', 'bagus']",Positif
2026 kalo umur masih panjang mau jalan2 ke IKN... 🥰,kalo umur masih panjang mau jalan ke ikn,"['umur', 'jalan', 'ikn']","['umur', 'jalan', 'ikn']",Positif
Gila keren abis,gila keren abis,"['gila', 'keren', 'habis']","['gila', 'keren', 'habis']",Positif
cantiknya kalimantan,cantiknya kalimantan,"['cantik', 'kalimantan']","['cantik', 'kalimantan']",Positif
ibu kota keren🔥,ibu kota keren,"['kota', 'keren']","['kota', 'keren']",Positif
Semoga indonesia tambah maju dari sabang sampai merauke tretan,semoga indonesia tambah maju dari sabang sampai merauke tretan,"['moga', 'indonesia', 'maju', 'sabang', 'merauke', 'teman']","['moga', 'indonesia', 'maju', 'sabang', 'merauke', 'teman']",Positif
"hrusnya jangan banyak2 lampunya, selain polusi cahaya, biar kesan elegannya dapet👍",hrusnya jangan banyak lampunya selain polusi cahaya biar kesan elegannya dapet,"['harus', 'lampu', 'polusi', 'cahaya', 'kesan', 'elegan']","['harus', 'lampu', 'polusi', 'cahaya', 'kesan', 'elegan']",Positif
"tolong beritahu aku kapan pertama kali pembangunan IKN dimulai, barangkali nanti masuk buku sejarah cucuku 😅",tolong beritahu aku kapan pertama kali pembangunan ikn dimulai barangkali nanti masuk buku sejarah cucuku,"['tolong', 'beritahu', 'kali', 'bangun', 'ikn', 'barangkali', 'masuk', 'buku', 'sejarah', 'cucu']","['tolong', 'berita', 'kali', 'bangun', 'ikn', 'barangkali', 'masuk', 'buku', 'sejarah', 'cucu']",Positif
seandainya jalan di tengah itu bentuk peta indonesia lebih keren,seandainya jalan di tengah itu bentuk peta indonesia lebih keren,"['anda', 'jalan', 'bentuk', 'peta', 'indonesia', 'keren']","['andai', 'jalan', 'bentuk', 'peta', 'indonesia', 'keren']",Positif
masyallah semoga bisa kesana 😻,masyallah semoga bisa kesana,"['masyallah', 'moga']","['masyaallah', 'moga']",Positif
